NAME,B01003_001E,B19013_001E,B25077_001E,B25024_002E,B25024_003E,B25024_004E,B25024_005E,B25024_006E,B25024_007E,B25024_008E,B25024_001E,state,place
"Coxsackie village, New York",2765,53507,179700,774,13,169,100,144,122,31,1377,36,18718
"Cragsmoor CDP, New York",492,106972,-666666666,325,0,0,0,0,0,0,325,36,18762
"Cranberry Lake CDP, New York",136,81429,287500,304,0,0,0,0,0,0,330,36,18817
"Crest View Heights CDP, New York",1709,132237,198000,731,0,0,0,20,0,0,751,36,18993
"Croghan village, New York",703,51000,121700,175,0,46,15,40,13,10,301,36,19070
"Crompond CDP, New York",2230,188158,501700,777,57,13,0,13,0,0,860,36,19092
"Croton-on-Hudson village, New York",8289,150260,605700,2105,411,230,237,22,41,60,3139,36,19213
"Crown Heights CDP, New York",3050,99583,246700,792,203,0,0,0,104,52,1151,36,19229
"Crugers CDP, New York",1503,67719,444800,243,0,0,67,21,290,81,881,36,19290
"Crystal Beach CDP, New York",804,54722,130700,410,0,0,29,0,0,12,464,36,19308
"Cuba village, New York",1677,61198,74300,441,0,94,76,54,5,5,687,36,19356
"Cumberland Head CDP, New York",1343,86389,181500,656,0,11,0,19,0,0,686,36,19408
"Cumminsville CDP, New York",107,-666666666,9999,0,0,0,0,0,0,0,77,36,19411
"Cutchogue CDP, New York",3104,106821,626900,1891,0,33,0,0,0,0,1924,36,19466
"Cuylerville CDP, New York",250,82083,98100,95,0,0,0,15,0,0,115,36,19510
"Dalton CDP, New York",406,63791,76800,213,0,0,0,0,0,0,215,36,19587
"Danby CDP, New York",320,44211,257300,191,0,16,41,0,0,0,248,36,19609
"Dannemora village, New York",4016,50556,104900,271,0,11,93,19,0,0,412,36,19642
"Dansville village, New York",4620,56406,94200,1816,17,231,103,19,67,39,2307,36,19664
"Davenport Center CDP, New York",273,48879,87700,75,0,30,15,0,0,0,152,36,19774
"Deer Park CDP, New York",26803,114230,411900,7401,749,129,146,132,178,90,9230,36,19972
"Deferiet village, New York",302,54167,109100,128,10,0,1,0,13,0,154,36,19994
"DeKalb Junction CDP, New York",688,35000,60700,152,0,27,0,0,10,0,234,36,20049
"Delanson village, New York",312,76875,207500,122,3,2,8,0,0,0,135,36,20082
