Date,T2M,RH2M,WS10M,PRECTOTCORR,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,City
2018-09-30,17.87,73.81,3.37,0.05,4.75,5.02,"New York, New York"
2018-10-01,20.51,86.94,4.84,0.78,3.2,4.47,"New York, New York"
2018-10-02,21.43,90.0,5.73,7.73,3.09,4.53,"New York, New York"
2018-10-03,20.98,83.81,3.95,2.88,4.12,4.86,"New York, New York"
2018-10-04,21.01,88.88,3.91,0.73,3.16,4.56,"New York, New York"
2018-10-05,18.15,80.31,5.3,0.08,3.68,4.81,"New York, New York"
2018-10-06,18.86,84.62,4.2,0.25,1.16,4.23,"New York, New York"
2018-10-07,22.17,90.38,3.73,0.12,2.77,4.28,"New York, New York"
2018-10-08,19.65,92.25,5.43,2.72,1.0,4.26,"New York, New York"
2018-10-09,21.31,94.19,4.26,0.66,2.1,4.4,"New York, New York"
2018-10-10,21.75,94.38,4.23,0.33,3.23,4.39,"New York, New York"
2018-10-11,22.08,96.94,5.49,18.57,1.44,4.02,"New York, New York"
2018-10-12,16.0,75.94,8.52,29.81,4.74,4.86,"New York, New York"
2018-10-13,12.43,75.81,5.08,2.48,2.51,4.48,"New York, New York"
2018-10-14,13.3,70.56,3.52,0.0,2.26,4.38,"New York, New York"
2018-10-15,18.19,88.94,7.37,5.29,1.1,3.98,"New York, New York"
2018-10-16,12.35,69.31,6.56,1.06,3.59,4.68,"New York, New York"
2018-10-17,13.29,68.62,7.97,0.01,3.95,4.42,"New York, New York"
2018-10-18,9.14,67.31,7.12,0.01,4.6,4.61,"New York, New York"
2018-10-19,12.32,69.94,6.45,0.0,3.84,4.42,"New York, New York"
2018-10-20,14.8,80.25,6.81,2.1,2.38,3.92,"New York, New York"
2018-10-21,8.91,75.81,8.47,0.52,3.11,4.41,"New York, New York"
2018-10-22,9.24,70.19,5.29,0.0,2.74,4.12,"New York, New York"
2018-10-23,13.44,71.88,5.56,0.09,3.86,4.02,"New York, New York"
2018-10-24,10.17,75.56,7.91,0.07,3.38,4.01,"New York, New York"
2018-10-25,8.38,74.88,5.84,0.0,4.09,4.1,"New York, New York"
2018-10-26,8.12,73.25,4.0,1.68,2.44,3.92,"New York, New York"
2018-10-27,11.42,92.94,9.96,56.13,1.08,3.75,"New York, New York"
2018-10-28,10.59,81.81,5.45,0.48,1.89,3.72,"New York, New York"
2018-10-29,11.8,81.75,7.42,2.11,1.84,3.68,"New York, New York"
2018-10-30,9.61,72.44,6.09,0.03,3.95,3.89,"New York, New York"
2018-10-31,12.79,77.69,5.16,0.02,3.41,3.59,"New York, New York"
2018-11-01,15.22,92.56,5.2,0.07,2.83,3.22,"New York, New York"
2018-11-02,17.28,95.56,8.44,9.85,1.05,3.15,"New York, New York"
2018-11-03,13.73,80.69,9.05,22.35,2.93,3.56,"New York, New York"
2018-11-04,9.51,70.5,3.88,0.0,3.66,3.65,"New York, New York"
2018-11-05,12.09,87.81,7.91,18.84,0.77,3.15,"New York, New York"
2018-11-06,13.82,97.12,4.55,10.42,0.55,3.02,"New York, New York"
2018-11-07,13.18,80.56,6.47,0.02,3.11,3.43,"New York, New York"
2018-11-08,9.98,71.81,4.48,0.0,3.42,3.51,"New York, New York"
2018-11-09,10.18,83.19,6.29,35.4,0.86,2.94,"New York, New York"
2018-11-10,6.69,75.56,9.2,0.56,2.93,3.49,"New York, New York"
2018-11-11,5.3,70.38,5.16,0.0,3.4,3.37,"New York, New York"
2018-11-12,7.71,67.5,2.54,2.65,2.24,3.13,"New York, New York"
2018-11-13,9.84,90.31,6.34,40.64,1.09,2.88,"New York, New York"
2018-11-14,3.79,71.06,7.84,0.0,2.86,3.34,"New York, New York"
2018-11-15,3.26,85.44,8.64,48.06,0.42,2.92,"New York, New York"
2018-11-16,6.0,88.62,9.5,7.67,2.42,3.09,"New York, New York"
2018-11-17,5.97,81.19,6.49,0.06,1.76,3.09,"New York, New York"
2018-11-18,5.87,74.31,2.96,0.01,1.18,2.89,"New York, New York"
2018-11-19,8.43,89.44,2.72,0.07,1.81,2.54,"New York, New York"
2018-11-20,7.31,89.25,4.57,0.98,1.39,2.63,"New York, New York"
2018-11-21,4.34,75.38,8.0,0.03,1.94,2.82,"New York, New York"
2018-11-22,-2.39,76.81,8.64,0.0,3.2,3.17,"New York, New York"
2018-11-23,-1.49,73.75,4.27,0.0,2.97,3.0,"New York, New York"
2018-11-24,7.17,86.88,6.49,67.41,0.97,2.73,"New York, New York"
2018-11-25,8.48,90.56,6.29,17.05,2.21,2.6,"New York, New York"
2018-11-26,9.81,92.38,6.33,38.88,0.67,2.3,"New York, New York"
2018-11-27,5.52,83.06,9.64,0.15,1.59,2.69,"New York, New York"
2018-11-28,3.94,81.12,10.27,0.18,1.59,2.73,"New York, New York"
2018-11-29,5.06,79.44,7.93,0.01,2.08,2.79,"New York, New York"
2018-11-30,4.56,74.31,2.23,1.22,0.74,2.5,"New York, New York"
2018-12-01,5.33,84.25,4.08,3.46,1.76,2.56,"New York, New York"
2018-12-02,11.26,97.5,5.85,23.01,1.07,2.37,"New York, New York"
2018-12-03,9.69,86.44,6.06,0.35,1.95,2.6,"New York, New York"
2018-12-04,3.45,75.31,6.73,0.01,2.47,2.78,"New York, New York"
2018-12-05,1.66,74.94,4.62,0.58,1.55,2.66,"New York, New York"
2018-12-06,2.95,76.06,6.6,0.03,1.88,2.67,"New York, New York"
2018-12-07,2.24,75.19,6.8,0.0,2.78,2.76,"New York, New York"
2018-12-08,0.44,72.44,4.85,0.0,2.12,2.62,"New York, New York"
2018-12-09,1.19,67.81,2.74,0.31,1.34,2.67,"New York, New York"
2018-12-10,1.85,76.5,5.63,0.82,2.65,2.63,"New York, New York"
2018-12-11,1.86,77.81,3.57,0.14,2.48,2.57,"New York, New York"
2018-12-12,2.76,75.38,4.95,0.02,1.47,2.46,"New York, New York"
2018-12-13,4.87,83.12,5.09,1.45,0.77,2.13,"New York, New York"
2018-12-14,7.03,95.0,4.17,1.66,0.86,2.24,"New York, New York"
2018-12-15,7.74,94.94,4.54,2.45,0.41,2.32,"New York, New York"
